Entity Source IDE;Entity Source Product Name;Entity Source Manufacturer Name;Entity Source Ingredients;Entity Target IDE;Entity Target Product Name;Entity Target Manufacturer Name;Entity Target Ingredients;Classification;Similarity Score
36256;Pazar Bumbu Nasi Uduk;PT Pristine Prima Lestari;;36123;Pazar Bumbu Pepes Ikan;PT Pristine Prima Lestari;;owl:sameAs;0.9213852813852814
36256;Pazar Bumbu Nasi Uduk;PT Pristine Prima Lestari;;36451;Pazar Sereh Bubuk;PT Pristine Prima Lestari;;rdfs:seeAlso;0.8767851756087051
18071;GROUND NUTMEG STERILE;INDOHARVEST SPICE, PT;;18117;GROUND CARDAMOM NON STERILE;INDOHARVEST SPICE, PT;;rdfs:seeAlso;0.8679116090880796
18071;GROUND NUTMEG STERILE;INDOHARVEST SPICE, PT;;18172;GROUND NUTMEG EXTRA TOPO STERILE;INDOHARVEST SPICE, PT;;owl:sameAs;0.9221428571428572
18071;GROUND NUTMEG STERILE;INDOHARVEST SPICE, PT;;18236;GROUND CASSIA STERILE;INDOHARVEST SPICE, PT;;rdfs:seeAlso;0.881904761904762
47983;WHOLE GROUND CRUSHED CAPER;Synthite Industries Ltd;;47698;WHOLE GROUND CRUSHED MARJORAM;Synthite Industries Ltd;;owl:sameAs;0.9484350132625996
28354;Longjon Keju;CV. FLAMBOYAN KARYA LESTARI;;28320;Longjon Coklat;CV. FLAMBOYAN KARYA LESTARI;;owl:sameAs;0.9028571428571428
30148;Marimas Melon;MARIMAS PUTERA KENCANA, PT;;29995;Marimas Frambose;MARIMAS PUTERA KENCANA, PT;;owl:sameAs;0.9108391608391608
30148;Marimas Melon;MARIMAS PUTERA KENCANA, PT;;30170;Marimas Teh rasa Lemon;MARIMAS PUTERA KENCANA, PT;;owl:sameAs;0.9149650349650349
27683;Lautan Krimer LK 02 HF;LAUTAN NATURAL KRIMERINDO, PT;;21512;Lautan Krimer LK 32 CH;LAUTAN NATURAL KRIMERINDO, PT;;owl:sameAs;0.9709090909090909
27683;Lautan Krimer LK 02 HF;LAUTAN NATURAL KRIMERINDO, PT;;27176;Lautan Krimer LK 35 CM;LAUTAN NATURAL KRIMERINDO, PT;;owl:sameAs;0.9418181818181819
